,index,supply_value,long,lat,site_ID
103,103,1,-0.8878584875334496,52.235285589408115,E103
104,104,1,-0.17425528763951903,51.517348288793094,E104
105,105,1,-0.17434868763928532,51.51781078879349,E105
106,106,1,-1.1570211872726264,52.990452790105834,E106
107,107,1,-1.2067010872227588,53.1419208902506,E107
108,108,1,-3.0335904883584215,52.88446709007042,E108
109,109,1,-2.792694588291269,52.70897168989116,E109
110,110,1,-2.792694588291269,52.70897168989116,E110
111,111,1,-0.17434868763928532,51.51781078879349,E111
112,112,1,-0.07434058754705859,51.613121888873486,E112
113,113,1,-0.19559088761648682,51.57103438883709,E113
114,114,1,-2.118698388006105,52.50231538967511,E114
115,115,1,-0.1314262876124972,51.53657408880954,E115
116,116,1,-2.094815187947374,52.59825368976486,E116
117,117,1,-1.99869918790299,52.58293058974787,E117
