Region name,MSOA code,MSOA name
East of England,E02006301,Felixstowe Seafront
East of England,E02006302,"Gunton East, Corton & Somerleyton"
East of England,E02006303,Gunton West
East of England,E02006304,Oulton
East of England,E02006305,Lowestoft Central
East of England,E02006306,Normanston & Oulton Broad East
East of England,E02006307,Oulton Broad West
East of England,E02006308,Lowestoft Harbour & Kirkley
East of England,E02006309,Pakefield North
East of England,E02006310,Carlton Colville
East of England,E02006311,Beccles
East of England,E02006312,Worlingham & Barnby
East of England,E02006313,Pakefield South & Kessingland
East of England,E02006314,Bungay & the Saints
East of England,E02006315,"Southwold, Reydon & Wrentham"
East of England,E02006316,Halesworth & Wangford
East of England,E02006238,Brandon
East of England,E02006239,Lakenheath
East of England,E02006240,"Beck Row, Eriswell & Barton Mills"
East of England,E02006241,Mildenhall
East of England,E02006242,"Red Lodge, Icklingham & Moulton"
East of England,E02006243,"North Newmarket, Studlands & Exning"
East of England,E02006273,Stanton & Barningham
East of England,E02006274,"Ixworth, Honington & Barnham"
East of England,E02006275,Howard Estate & Northgate
East of England,E02006276,"Fornham, Great Barton & Rougham"
East of England,E02006277,Moreton Hall
East of England,E02006278,Bury St Edmunds Central
East of England,E02006279,Bury St Edmunds West
East of England,E02006280,"Barrow, Chedburgh & Sicklesmere"
East of England,E02006281,Eastgate & Southgate
East of England,E02006282,"Clare, Cavendish & Wickhambrook"
East of England,E02006283,"Kedington, Hundon & Withersfield"
East of England,E02006284,Haverhill North
East of England,E02006285,Haverhill West
East of England,E02006286,Haverhill East & South
East of England,E02006826,South Newmarket & Racecourse
