Region name,MSOA code,MSOA name
East of England,E02006229,North Sudbury & Long Melford
East of England,E02006230,Hadleigh
East of England,E02006231,"Sproughton, Washbrook & Hintlesham"
East of England,E02006232,"Acton, Great Waldingfield & Bures"
East of England,E02006233,Sudbury
East of England,E02006234,Great Cornard
East of England,E02006235,"Leavenheath, Nayland & Boxford"
East of England,E02006236,"East Bergholt, Brantham & Capel St Mary"
East of England,E02006237,Shotley Peninsula
East of England,E02006245,Whitton
East of England,E02006246,Castle Hill
East of England,E02006247,Whitehouse
East of England,E02006248,Rushmere
East of England,E02006249,Christchurch Park
East of England,E02006250,Westgate
East of England,E02006251,Ipswich Central
East of England,E02006252,California
East of England,E02006253,Broke Hall
East of England,E02006254,Gipping & Chantry Park
East of England,E02006255,Holywells
East of England,E02006256,"Maidenhall, Stoke & Port"
East of England,E02006257,Belstead Hills
East of England,E02006258,Priory Heath
East of England,E02006259,Stoke Park
East of England,E02006260,"Gainsborough, Greenwich & Orwell"
East of England,E02006261,"Eye, Palgrave & Occold"
East of England,E02006262,"Rickinghall, Walsham le Willows & Gislingham"
East of England,E02006263,"Fressingfield, Laxfield & Worlingworth"
East of England,E02006264,"Thurston, Badwell Ash & Elmswell North"
East of England,E02006265,"Stowupland, Mendlesham & Bacton"
East of England,E02006266,"Elmswell South, Haughley, Beyton & Felsham"
East of England,E02006267,"Debenham, Stonham & Coddenham"
East of England,E02006268,Stowmarket West
East of England,E02006269,"Stowmarket Outer, Finborough & Battisford"
East of England,E02006270,Stowmarket East & Needham Market North
East of England,E02006271,Needham Market South & Great Blakenham
East of England,E02006272,Claydon & Bramford
East of England,E02004924,Harpenden North
East of England,E02004925,Harpenden East
East of England,E02004926,Harpenden Town
East of England,E02004927,Wheathampstead
East of England,E02004928,Harpenden Common
East of England,E02004929,Redbourn
East of England,E02004930,Jersey Farm & Sandridge
East of England,E02004931,Marshalswick
East of England,E02004932,Townsend & New Greens
East of England,E02004933,Bernards Heath
East of England,E02004934,Clarence Park
East of England,E02004935,St Albans Central
East of England,E02004936,Longacres
East of England,E02004937,Verulam Park
East of England,E02004938,Colney Heath & Tyttenhanger
East of England,E02004939,The Camp & Cunningham
East of England,E02004940,Cottonmill & Sopwell
East of England,E02004941,London Colney
East of England,E02004942,How Wood & Park Street
East of England,E02004943,Bricket Wood & Chiswell Green
East of England,E02004980,"Woolmer Green, Oaklands & Digswell"
East of England,E02004981,Welwyn & Hatfield Garden Village
East of England,E02004982,Knightsfield
East of England,E02004983,Haldens
East of England,E02004984,Panshanger
East of England,E02004985,Welwyn Garden City Central & Handside
East of England,E02004986,Peartree
East of England,E02004987,Hall Grove
East of England,E02004988,Hollybush
East of England,E02004989,Hatfield North & West
East of England,E02004990,Hatfield East
East of England,E02004991,Hatfield Town
East of England,E02004992,Hatfield South
East of England,E02004993,Welham Green
East of England,E02004994,Brookmans Park
East of England,E02004995,Cuffley & Northaw
East of England,E02004878,Buntingford & Great Hormead
East of England,E02004879,"Datchworth, Walkern & Cottered"
East of England,E02004880,Bishop's Stortford West & Braughing
East of England,E02004881,Bishop's Stortford North
East of England,E02004882,Bishop's Stortford East
East of England,E02004883,Puckeridge & Thundridge
East of England,E02004884,Bishop's Stortford Central
East of England,E02004885,Bishop's Stortford South
East of England,E02004886,Much Hadham & Hunsdon
East of England,E02004887,"Watton-at-Stone, Bramfield & Bayford"
East of England,E02004888,Sawbridgeworth
East of England,E02004889,Ware East
East of England,E02004890,Ware West
East of England,E02004891,Hertford Bengeo
East of England,E02004892,Hertford West
East of England,E02004893,Hertford Foxholes
East of England,E02004894,Hertford South
East of England,E02004895,Hertford Heath & Stanstead St Margarets
East of England,E02004944,St Nicholas
East of England,E02004945,Woodfield & Old Town
East of England,E02004946,Martins Wood
East of England,E02004947,Chells North
East of England,E02004948,Symonds Green
East of England,E02004949,Pin Green
East of England,E02004950,Chells South
East of England,E02004951,Bedwell
East of England,E02004952,Poplars
East of England,E02004953,Shephall
East of England,E02004954,Roebuck
East of England,E02004955,Broadwater & Bragbury End
East of England,E02006287,"Yoxford, Wenhaston & Walberswick"
East of England,E02006288,Framlingham & Hacheston
East of England,E02006289,Saxmundham & Coldfair Green
East of England,E02006290,Leiston & Aldeburgh
East of England,E02006291,Wickham Market & Melton
East of England,E02006292,"Westerfield, Grundisburgh & Bredfield"
East of England,E02006293,"Rendlesham, Orford & Hollesley"
East of England,E02006294,Woodbridge
East of England,E02006295,Kesgrave West & Rushmere
East of England,E02006296,Kesgrave East & Martlesham
East of England,E02006297,"Bixley, Warren Heath & Nacton"
East of England,E02006298,Trimley & Kirton
East of England,E02006299,Felixstowe East
East of England,E02006300,Felixstowe West
